RunNumber,Temperature ,dT,a       ,da,lam      ,dlam,alpha     ,d       ,dd,phi   ,dphi,beta    ,dbeta,v,dv,Reduced x^2
25469,1.947,0.012,0.04635,50353.96502,0.15725,0.14233,1.09236,0.00683,0.00259,-40.02424,74122117.85,6.06175,34355.53092,0.00003,6505.01405,1.626
25500,3.945,0.013,0.24999,10625.59733,1.11829,0.94622,1.09236,0.00918,0.01029,70.93567,840227.7744,15.41011,5080.64002,0.09075,3971.05462,0.882
25478,7.321,0.014,0.14694,41925.02378,11.68878,1.69264,1.09236,0.20808,0.02935,90.82765,236155.0435,0,11.87073,0.00031,87.6639,1.2223
25501,9.041,0.01,0.13313,0.04419,18.12491,36.70755,1.09236,0.25,0.46616,-36.91827,82.09038,3.18339,0.68582,0.40293,0.2745,0.6524
25502,10.969,0.009,0.0608,0.00689,3.85464,0.49419,1.09236,0.16299,0.01039,-10.77483,10.44553,0.68336,0.09027,0.43318,0.01759,1.109
25503,13.073,0.009,0.11074,0.00633,3.26588,0.57931,1.09236,0.11233,0.01105,-7.4986,5.55721,0.55882,0.0408,0.41707,0.00867,1.583
25504,15.017,0.009,0.13235,0.00432,3.44149,0.54103,1.09236,0.09311,0.00818,-9.11003,2.96729,0.45475,0.02163,0.42318,0.00437,1.1139
25486,17.995,0.009,0.1535,0.00491,3.91117,0.88237,1.09236,0.07776,0.00939,-10.3231,2.57441,0.39091,0.01972,0.42044,0.00365,1.7829
25488,19.856,0.009,0.16012,0.00502,3.72247,0.96372,1.09236,0.07124,0.01023,-9.37095,2.60608,0.35462,0.01872,0.4212,0.00357,2.2918
25491,24.67,0.06,0.17054,0.00399,3.84643,0.89113,1.09236,0.06636,0.00865,-10.12676,1.84704,0.29675,0.01298,0.42127,0.0024,2.4676
25493,30.216,0.005,0.18117,0.00313,3.26266,0.75767,1.09236,0.04991,0.00704,-9.73953,1.40779,0.26424,0.0091,0.42255,0.00175,1.7972
25495,37.739,0.001,0.18785,0.00292,3.22196,0.71139,1.09236,0.04987,0.00673,-8.87841,1.24083,0.22999,0.00776,0.41886,0.00148,1.7644
25497,45.31,0.025,0.2023,0.00272,4.20144,1.39627,1.09236,0.03392,0.00642,-10.46257,0.97445,0.23665,0.00682,0.42316,0.0012,1.3613
25499,52.753,0.009,0.21162,0.00331,2.77198,1.54818,1.09236,0.01968,0.00723,-9.67442,1.1497,0.22529,0.00746,0.42144,0.00138,1.542
25468,59.269,0.002,0.21761,0.00323,5.00227,3.49625,1.09236,0.02036,0.00812,-9.25542,0.9262,0.21877,0.0072,0.42159,0.00116,1.2152
